,mean,median,non_empty_mean
fullName,13.841740503552943,14.0,13.844169518294288
bio,156.40591279936837,44.0,232.9941191845269
repo_descriptions,337.6396175103079,0.0,961.4673994504122
headline,21.17159399947364,0.0,57.06668243083471
